User_ID,User_Type,Department,Region,Platform_Source,App_Installed,First_Login_Completed,Days_Since_Last_Activity,Registered_for_Event,Event_Type,Event_Mode,Newsletter_Subscribed,Saved_Event_Count,Feedback_Rating,Course_Completed,Time_Spent_Total_Minutes
ECL100000,Faculty,Polytechnic,South,Email,0,1,18,0,STTP,Offline,0,2,5,1,330
ECL100001,Faculty,Law,West,LinkedIn,1,0,85,0,Hackathon,Online,0,6,1,0,490
ECL100002,Faculty,Medical,North,ACE Website,1,0,6,1,FDP,Hybrid,0,2,3,1,491
ECL100003,Professional,Arts,South,Email,0,1,41,0,Conference,Online,1,0,2,0,495
ECL100004,Faculty,Science,East,Email,1,0,5,0,Webinar,Online,0,0,4,0,71
ECL100005,Faculty,Medical,East,LinkedIn,0,1,32,0,Webinar,Hybrid,0,8,3,1,315
ECL100006,Entrepreneur,Arts,North,WhatsApp,0,1,45,0,Workshop,Hybrid,1,3,5,0,49
ECL100007,Professional,Engineering,West,ACE Website,0,0,29,1,Conference,Offline,0,6,1,0,66
ECL100008,Student,Arts,South,WhatsApp,1,1,14,1,FDP,Online,0,3,1,1,100
ECL100009,Faculty,Engineering,South,Email,1,1,84,1,Hackathon,Hybrid,1,3,2,0,319
ECL100010,Faculty,Law,East,Email,1,0,23,1,Hackathon,Offline,0,0,1,1,354
ECL100011,Entrepreneur,Arts,South,ACE Website,1,0,10,0,STTP,Online,0,9,3,0,156
ECL100012,Professional,Engineering,East,Instagram,1,1,28,1,STTP,Hybrid,0,9,4,1,16
ECL100013,Professional,Commerce,East,LinkedIn,1,0,43,1,FDP,Hybrid,0,2,3,0,116
ECL100014,Professional,Law,North,ACE Website,0,0,39,0,Hackathon,Online,0,5,5,0,151
ECL100015,Faculty,Science,Central,YouTube,0,1,58,0,Workshop,Offline,0,1,4,1,470
ECL100016,Faculty,Commerce,Central,Email,1,0,46,0,Webinar,Hybrid,0,8,4,0,269
ECL100017,Professional,Engineering,Central,LinkedIn,1,0,8,0,Conference,Online,0,5,1,1,162
ECL100018,Professional,Commerce,Central,LinkedIn,0,1,2,0,Webinar,Hybrid,0,7,1,0,347
ECL100019,Student,Medical,Central,WhatsApp,1,0,65,0,Hackathon,Offline,0,2,4,0,53
ECL100020,Entrepreneur,Commerce,Central,WhatsApp,1,0,58,0,Webinar,Hybrid,1,6,5,0,265
ECL100021,Entrepreneur,Law,East,Instagram,1,0,36,1,Webinar,Online,0,2,3,1,141
ECL100022,Faculty,Law,Central,Email,0,0,85,0,Webinar,Online,0,6,2,1,429
ECL100023,Student,Polytechnic,East,Instagram,1,1,76,0,STTP,Offline,1,1,5,0,144
ECL100024,Student,Law,South,ACE Website,1,0,48,0,Conference,Hybrid,0,0,5,0,223
ECL100025,Student,Engineering,East,YouTube,1,0,56,0,Hackathon,Hybrid,0,4,5,1,335
ECL100026,Professional,Science,Central,YouTube,0,0,27,0,Workshop,Online,0,4,3,0,404
ECL100027,Entrepreneur,Law,West,Instagram,0,1,87,1,FDP,Online,0,4,3,0,236
ECL100028,Student,Medical,West,ACE Website,1,1,6,0,FDP,Offline,1,7,1,0,167
ECL100029,Student,Law,East,ACE Website,1,0,56,0,Hackathon,Online,0,6,1,0,256
ECL100030,Entrepreneur,Medical,West,LinkedIn,0,0,13,0,Webinar,Hybrid,1,1,1,0,249
ECL100031,Professional,Medical,South,WhatsApp,1,0,74,1,Conference,Online,0,3,5,0,390
ECL100032,Faculty,Medical,Central,Email,1,1,38,0,STTP,Hybrid,0,8,1,1,393
ECL100033,Faculty,Arts,Central,WhatsApp,1,0,8,0,Conference,Hybrid,0,7,2,0,361
ECL100034,Entrepreneur,Science,East,LinkedIn,0,1,81,0,STTP,Hybrid,0,5,1,0,79
ECL100035,Student,Arts,Central,Email,1,0,15,0,Workshop,Offline,0,3,2,1,209
ECL100036,Entrepreneur,Law,West,Instagram,1,0,83,1,FDP,Online,1,9,2,1,443
ECL100037,Faculty,Engineering,East,Email,1,1,52,1,STTP,Online,0,9,1,0,431
ECL100038,Student,Medical,South,LinkedIn,1,1,37,0,FDP,Offline,0,8,1,0,322
ECL100039,Professional,Science,North,Instagram,0,1,80,0,FDP,Hybrid,0,2,3,0,143
ECL100040,Entrepreneur,Engineering,West,ACE Website,0,0,42,1,Hackathon,Offline,0,4,5,0,89
ECL100041,Student,Medical,East,YouTube,1,0,1,0,STTP,Offline,0,9,3,1,92
ECL100042,Professional,Law,West,Email,1,1,67,0,Conference,Offline,0,7,5,1,380
ECL100043,Faculty,Engineering,East,YouTube,1,0,34,1,STTP,Offline,0,1,2,0,133
ECL100044,Entrepreneur,Law,West,YouTube,0,1,13,0,Webinar,Offline,1,9,2,0,116
ECL100045,Professional,Medical,South,ACE Website,1,1,45,1,FDP,Hybrid,0,4,1,1,422
ECL100046,Student,Medical,West,ACE Website,1,1,43,0,FDP,Hybrid,0,3,5,1,59
ECL100047,Professional,Science,North,Email,0,0,56,0,Conference,Hybrid,0,3,1,0,240
ECL100048,Faculty,Law,South,YouTube,1,0,8,0,FDP,Online,1,0,3,1,486
ECL100049,Professional,Polytechnic,North,WhatsApp,0,0,86,1,Workshop,Offline,0,7,4,1,491
ECL100050,Faculty,Arts,East,Email,1,0,81,0,FDP,Hybrid,0,9,3,1,187
ECL100051,Faculty,Engineering,East,LinkedIn,1,1,79,0,Workshop,Hybrid,0,5,3,0,145
ECL100052,Entrepreneur,Polytechnic,North,LinkedIn,1,0,60,0,Conference,Offline,0,4,3,0,43
ECL100053,Professional,Polytechnic,South,WhatsApp,1,1,86,1,Workshop,Online,0,7,5,0,493
